YearBP, YearCE, ndays, before_leap, veq_day, veq_day2, ss_day, ss_day2, perihelion_day, aphelion_day
  -47000,   -45050,  365,    2,  79.687500,  80.250000, 172.522222, 170.750000,   352.768056,   170.146528
  -46000,   -44050,  365,    3,  80.187500,  80.500000, 172.665972, 171.000000,     1.009722,   183.388194
  -45000,   -43050,  365,    0,  79.687500,  80.750000, 171.760417, 171.250000,    12.984028,   195.604861
  -44000,   -42050,  365,    1,  80.187500,  80.000000, 171.820139, 170.500000,    26.227778,   208.849306
  -43000,   -41050,  365,    2,  79.687500,  80.250000, 170.857639, 170.750000,    38.549306,   221.170139
  -42000,   -40050,  365,    3,  80.187500,  80.500000, 170.889583, 171.000000,    51.995139,   234.615972
  -41000,   -39050,  365,    0,  79.687500,  80.750000, 169.935417, 171.250000,    64.607639,   247.229167
  -40000,   -38050,  365,    1,  80.187500,  80.000000, 170.017361, 170.500000,    78.426389,   261.047917
  -39000,   -37050,  365,    2,  79.687500,  80.250000, 169.158333, 170.750000,    91.485417,   274.106944
  -38000,   -36050,  365,    3,  80.187500,  80.500000, 169.385417, 171.000000,   105.815972,   288.436806
  -37000,   -35050,  365,    0,  79.687500,  80.750000, 168.724306, 171.250000,   119.444444,   302.065972
  -36000,   -34050,  365,    1,  80.187500,  80.000000, 169.196528, 170.500000,   134.396528,   317.017361
  -35000,   -33050,  365,    2,  79.687500,  80.250000, 168.820833, 170.750000,   148.690278,   331.311806
  -34000,   -32050,  365,    3,  80.187500,  80.500000, 169.603472, 171.000000,   164.340972,   346.961806
  -33000,   -31050,  365,    0,  79.687500,  80.750000, 169.542361, 171.250000,   179.352778,   361.974306
  -32000,   -30050,  365,    1,  80.187500,  80.000000, 170.619444, 170.500000,   195.722222,    13.100694
  -31000,   -29050,  365,    2,  79.687500,  80.250000, 170.802778, 170.750000,   211.430556,    28.809722
  -30000,   -28050,  365,    3,  80.187500,  80.500000, 172.045833, 171.000000,   228.447222,    45.825694
  -29000,   -27050,  365,    0,  79.687500,  80.750000, 172.288889, 171.250000,   244.723611,    62.102083
  -28000,   -26050,  365,    1,  80.187500,  80.000000, 173.466667, 170.500000,   262.200694,    79.579167
  -27000,   -25050,  365,    2,  79.687500,  80.250000, 173.512500, 170.750000,   278.807639,    96.186111
  -26000,   -24050,  365,    3,  80.187500,  80.500000, 174.366667, 171.000000,   296.469444,   113.847917
  -25000,   -23050,  365,    0,  79.687500,  80.750000, 173.986111, 171.250000,   313.111806,   130.490972
  -24000,   -22050,  365,    1,  80.187500,  80.000000, 174.350000, 170.500000,   330.670139,   148.048611
  -23000,   -21050,  365,    2,  79.687500,  80.250000, 173.461111, 170.750000,   347.090278,   164.468750
  -22000,   -20050,  365,    3,  80.187500,  80.500000, 173.351389, 171.000000,   364.338194,   181.717361
  -21000,   -19050,  365,    0,  79.687500,  80.750000, 172.071528, 171.250000,    15.156250,   197.777778
  -20000,   -18050,  365,    1,  80.187500,  80.000000, 171.692361, 170.500000,    32.033333,   214.654861
  -19000,   -17050,  365,    2,  79.687500,  80.250000, 170.289583, 170.750000,    47.748611,   230.370139
  -18000,   -16050,  365,    3,  80.187500,  80.500000, 169.941667, 171.000000,    64.339583,   246.960417
  -17000,   -15050,  365,    0,  79.687500,  80.750000, 168.718750, 171.250000,    79.852778,   262.474306
  -16000,   -14050,  365,    1,  80.187500,  80.000000, 168.679861, 170.500000,    96.343056,   278.964583
  -15000,   -13050,  365,    2,  79.687500,  80.250000, 167.867361, 170.750000,   111.867361,   294.488194
  -14000,   -12050,  365,    3,  80.187500,  80.500000, 168.305556, 171.000000,   128.479167,   311.100694
  -13000,   -11050,  365,    0,  79.687500,  80.750000, 167.999306, 171.250000,   144.228472,   326.849306
  -12000,   -10050,  365,    1,  80.187500,  80.000000, 168.933333, 170.500000,   161.152778,   343.773611
  -11000,    -9050,  365,    2,  79.687500,  80.250000, 169.075000, 170.750000,   177.277778,   359.899306
  -10000,    -8050,  365,    3,  80.187500,  80.500000, 170.371528, 171.000000,   194.614583,    11.993056
   -9000,    -7050,  365,    0,  79.687500,  80.750000, 170.759028, 171.250000,   211.156250,    28.535417
   -8000,    -6050,  365,    1,  80.187500,  80.000000, 172.162500, 170.500000,   228.881250,    46.259722
   -7000,    -5050,  365,    2,  79.687500,  80.250000, 172.502083, 170.750000,   245.752083,    63.131250
   -6000,    -4050,  365,    3,  80.187500,  80.500000, 173.703472, 171.000000,   263.724306,    81.103472
   -5000,    -3050,  365,    0,  79.687500,  80.750000, 173.702778, 171.250000,   280.746528,    98.125694
   -4000,    -2050,  365,    1,  80.187500,  80.000000, 174.454861, 170.500000,   298.770139,   116.149306
   -3000,    -1050,  365,    2,  79.687500,  80.250000, 173.939583, 170.750000,   315.752778,   133.131944
   -2000,      -50,  365,    3,  80.187500,  80.500000, 174.163194, 171.000000,   333.664583,   151.043056
   -1000,      950,  365,    0,  79.687500,  80.750000, 173.159722, 171.250000,   350.489583,   167.868750
       0,     1950,  365,    1,  80.187500,  80.000000, 172.984028, 170.500000,     2.987500,   185.609028
