   AgeBP,  JanDays     , FebDays     , MarDays     , AprDays     , MayDays     , JunDays     , JulDays     , AugDays     , SepDays     , OctDays     , NovDays     , DecDays     , JanMid      , FebMid      , MarMid      , AprMid      , MayMid      , JunMid      , JulMid      , AugMid      , SepMid      , OctMid      , NovMid      , DecMid      , JanBeg      , FebBeg      , MarBeg      , AprBeg      , MayBeg      , JunBeg      , JulBeg      , AugBeg      , SepBeg      , OctBeg      , NovBeg      , DecBeg      , JanEnd      , FebEnd      , MarEnd      , AprEnd      , MayEnd      , JunEnd      , JulEnd      , AugEnd      , SepEnd      , OctEnd      , NovEnd      , De,    "JanColor ",    "FebColor ",    "MarColor ",    "AprColor ",    "MayColor ",    "JunColor ",    "JulColor ",    "AugColor ",    "SepColor ",    "OctColor ",    "NovColor ",    "DecColor "
 -123000,    33.842710,    30.949893,    33.777162,    31.453300,    30.852596,    28.372150,    28.279122,    27.942557,    27.454776,    29.466872,    30.001136,    32.607725,     9.040873,    41.504401,    73.970932,   106.688636,   137.919487,   167.490784,   195.709059,   223.670655,   251.267689,   279.682953,   309.444040,   340.770080,    -7.747259,    26.046693,    56.963373,    90.753643,   122.256573,   153.145812,   181.503182,   209.730421,   237.635146,   265.101273,   294.617184,   324.655402,    26.046693,    56.963373,    90.753643,   122.256573,   153.145812,   181.503182,   209.730421,   237.635146,   265.101273,   294.617184,   324.655402,   357.252741,         "Purple",         "Purple",         "Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",    "Deep Yellow",         "Orange",         "Orange",         "Orange",    "Pale Yellow",         "Purple"
 -122000,    33.256024,    30.697652,    33.896223,    31.917096,    31.525293,    29.020463,    28.783552,    28.173272,    27.371373,    29.072274,    29.392167,    31.894612,     9.528761,    41.563583,    73.942119,   106.957760,   138.778357,   169.042802,   197.865766,   226.206296,   253.868847,   282.032864,   311.274458,   341.925390,    -6.940999,    26.273330,    56.933482,    90.830420,   122.789973,   154.356841,   183.373933,   212.112725,   240.244338,   267.616879,   296.731087,   326.163713,    26.273330,    56.933482,    90.830420,   122.789973,   154.356841,   183.373933,   212.112725,   240.244338,   267.616879,   296.731087,   326.163713,   358.059001,         "Purple",         "Purple",         "Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow",         "Orange",         "Orange",    "Deep Yellow",   "Light Purple"
 -121000,    32.567617,    30.269846,    33.789457,    32.207410,    32.119922,    29.698532,    29.402283,    28.567273,    27.460060,    28.837302,    28.885205,    31.195092,    10.409554,    41.873303,    73.957377,   107.061330,   139.337710,   170.271403,   199.775628,   228.641400,   256.543228,   284.625531,   313.480004,   343.516243,    -5.706218,    26.829182,    57.060493,    90.839228,   123.079195,   155.242200,   184.948179,   214.315183,   242.839810,   270.291619,   299.161820,   328.087992,    26.829182,    57.060493,    90.839228,   123.079195,   155.242200,   184.948179,   214.315183,   242.839810,   270.291619,   299.161820,   328.087992,   359.293782,         "Purple",         "Purple",         "Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",         "Orange",         "Orange",    "Deep Yellow",  "Easter Purple"
 -120000,    31.839289,    29.707273,    33.463098,    32.287944,    32.574963,    30.348758,    30.093664,    29.104492,    27.720121,    28.779605,    28.516257,    30.564537,    11.602127,    42.405964,    74.016112,   106.983455,   139.529914,   171.045773,   201.256081,   230.762425,   259.067799,   287.246856,   315.873732,   345.401451,    -4.154984,    27.663143,    57.334225,    90.777318,   123.086091,   155.701877,   186.067303,   216.136896,   245.200777,   272.904624,   301.706743,   330.261577,    27.663143,    57.334225,    90.777318,   123.086091,   155.701877,   186.067303,   216.136896,   245.200777,   272.904624,   301.706743,   330.261577,   360.845016,   "Light Purple",         "Purple",         "Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",         "Orange",         "Orange",         "Orange",    "Pale Yellow"
 -119000,    31.133099,    29.063346,    32.948107,    32.144696,    32.838243,    30.908613,    30.803828,    29.752153,    28.140160,    28.906540,    28.311229,    30.049986,    12.995139,    43.109926,    74.112769,   106.728687,   139.324999,   171.274516,   202.154333,   232.372353,   261.224251,   289.677185,   318.253050,   347.414579,    -2.428128,    28.695474,    57.728111,    90.650040,   122.803189,   155.676303,   186.608268,   217.400127,   247.116729,   275.234591,   304.152557,   332.497219,    28.695474,    57.728111,    90.650040,   122.803189,   155.676303,   186.608268,   217.400127,   247.116729,   275.234591,   304.152557,   332.497219,   362.571872,  "Easter Purple",   "Light Purple",         "Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",         "Orange",         "Orange",         "Orange",    "Deep Yellow"
 -118000,    30.505452,    28.396735,    32.295464,    31.789374,    32.876024,    31.318144,    31.469618,    30.464207,    28.696854,    29.214553,    28.285570,    29.688005,    14.461883,    43.917302,    74.237675,   106.321885,   138.737427,   170.921594,   202.368726,   233.312852,   262.819938,   291.711245,   320.419336,   349.382632,    -0.677993,    29.829246,    58.203324,    90.470122,   122.256200,   155.157976,   186.502869,   217.972516,   248.409052,   277.080121,   306.295046,   334.606450,    29.829246,    58.203324,    90.470122,   122.256200,   155.157976,   186.502869,   217.972516,   248.409052,   277.080121,   306.295046,   334.606450,   364.322007,    "Pale Yellow",  "Easter Purple",   "Light Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",         "Orange",         "Orange",    "Deep Yellow"
 -117000,    30.003210,    27.764462,    31.568357,    31.257973,    32.679859,    31.529240,    32.024560,    31.182501,    29.353877,    29.688176,    28.443973,    29.503812,    15.875308,    44.753501,    74.378574,   105.804292,   137.824957,   170.014282,   201.864951,   233.483895,   263.707111,   293.176117,   322.195307,   351.143108,     0.947986,    30.962962,    58.714596,    90.255612,   121.500339,   154.194579,   185.750255,   217.785646,   248.950720,   278.278309,   307.956639,   336.416859,    30.962962,    58.714596,    90.255612,   121.500339,   154.194579,   185.750255,   217.785646,   248.950720,   278.278309,   307.956639,   336.416859,   365.947986,    "Deep Yellow",  "Easter Purple",  "Easter Purple",  "Easter Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",         "Orange",         "Orange"
 -116000,    29.661709,    27.216685,    30.833453,    30.604886,    32.268952,    31.514500,    32.407651,    31.840665,    30.061842,    30.298830,    28.779807,    29.511021,    17.120405,    45.546191,    74.522374,   105.226998,   136.679730,   168.640617,   200.683345,   232.857622,   263.798270,   293.945602,   323.438412,   352.557133,     2.320246,    32.001615,    59.216168,    90.027132,   120.611523,   152.882393,   184.419278,   216.846303,   248.681419,   278.719730,   309.000185,   337.785297,    32.001615,    59.216168,    90.027132,   120.611523,   152.882393,   184.419278,   216.846303,   248.681419,   278.719730,   309.000185,   337.785297,   367.320246,    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",  "Easter Purple",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",  "Easter Purple",    "Pale Yellow",    "Pale Yellow",    "Deep Yellow",    "Deep Yellow"
 -115000,    29.504105,    26.793566,    30.153260,    29.894333,    31.687102,    31.273028,    32.573428,    32.371192,    30.760271,    31.004083,    29.274204,    29.711429,    18.102557,    46.232055,    74.656704,   104.643675,   135.414127,   166.936715,   198.935179,   231.483962,   263.076119,   293.950351,   324.049864,   353.517954,     3.335549,    32.864524,    59.666613,    89.805158,   119.674980,   151.351676,   182.639697,   215.237877,   247.616038,   278.358823,   309.338528,   338.606537,    32.864524,    59.666613,    89.805158,   119.674980,   151.351676,   182.639697,   215.237877,   247.616038,   278.358823,   309.338528,   338.606537,   368.335549,    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",  "Easter Purple",  "Easter Purple",  "Easter Purple",    "Pale Yellow",    "Deep Yellow"
 -114000,    29.541320,    26.523939,    29.580802,    29.191509,    30.995169,    30.831125,    32.500673,    32.715060,    31.382481,    31.748268,    29.895135,    30.094519,    18.751919,    46.760793,    74.771014,   104.104300,   134.145240,   165.067200,   196.788381,   229.486672,   261.597113,   293.183799,   323.979995,   353.955439,     3.921358,    33.489691,    60.031922,    89.607904,   118.774281,   149.747980,   180.584117,   213.111159,   245.845164,   277.219170,   308.940322,   338.818133,    33.489691,    60.031922,    89.607904,   118.774281,   149.747980,   180.584117,   213.111159,   245.845164,   277.219170,   308.940322,   338.818133,   368.921358,    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Deep Yellow",    "Pale Yellow",    "Pale Yellow",    "Pale Yellow",  "Easter Purple",   "Light Purple",   "Light Purple",  "Easter Purple",    "Pale Yellow"
