  -99000  -97050,     1.418906,     2.087851,     2.592970,     2.080577,     1.091720,    -0.228657,    -1.447513,    -2.248967,    -2.372295,    -2.039437,    -1.074075,     0.138919
  -98000  -96050,     0.758427,     1.551064,     2.242794,     2.091266,     1.451378,     0.337012,    -0.812075,    -1.725739,    -2.086628,    -2.037445,    -1.364348,    -0.405706
  -97000  -95050,     0.144326,     0.969178,     1.749774,     1.912367,     1.630476,     0.797757,    -0.190551,    -1.130622,    -1.674766,    -1.876232,    -1.502295,    -0.829411
  -96000  -94050,    -0.382190,     0.390796,     1.163643,     1.567223,     1.616313,     1.113594,     0.366549,    -0.506908,    -1.164666,    -1.568938,    -1.484819,    -1.110597
  -95000  -93050,    -0.790245,    -0.141271,     0.537497,     1.093673,     1.415777,     1.257982,     0.812151,     0.097571,    -0.591647,    -1.136768,    -1.317116,    -1.237604
  -94000  -92050,    -1.059148,    -0.592275,    -0.077909,     0.538250,     1.053696,     1.221379,     1.108040,     0.634027,     0.002763,    -0.608811,    -1.012230,    -1.207782
  -93000  -91050,    -1.177680,    -0.936331,    -0.638148,    -0.049838,     0.568605,     1.012284,     1.229796,     1.057440,     0.573075,    -0.021531,    -0.590877,    -1.026795
  -92000  -90050,    -1.143310,    -1.156266,    -1.107328,    -0.623777,     0.007090,     0.655491,     1.170075,     1.331771,     1.073334,     0.582492,    -0.081295,    -0.708279
  -91000  -89050,    -0.961644,    -1.243063,    -1.458861,    -1.142699,    -0.582005,     0.188070,     0.939384,     1.434637,     1.461646,     1.156971,     0.481283,    -0.273719
  -90000  -88050,    -0.646162,    -1.195281,    -1.675336,    -1.573652,    -1.152447,    -0.345891,     0.564139,     1.360353,     1.705096,     1.655560,     1.055915,     0.247707
  -89000  -87050,    -0.218145,    -1.018670,    -1.748011,    -1.892309,    -1.664013,    -0.900595,     0.082563,     1.120519,     1.784065,     2.036511,     1.598360,     0.819724
  -88000  -86050,     0.293503,    -0.726014,    -1.676304,    -2.082899,    -2.084388,    -1.432966,    -0.460570,     0.742027,     1.694923,     2.267638,     2.064669,     1.400381
  -87000  -85050,     0.852875,    -0.337093,    -1.467469,    -2.137797,    -2.389879,    -1.905732,    -1.019167,     0.262993,     1.450375,     2.330574,     2.415691,     1.944629
  -86000  -84050,     1.418559,     0.121514,    -1.136489,    -2.057124,    -2.565380,    -2.289149,    -1.550166,    -0.272357,     1.077386,     2.223314,     2.621801,     2.408093
