YearBP, JanDiff, FebDiff, MarDiff, AprDiff, MayDiff, JunDiff, JulDiff, AugDiff, SepDiff, OctDiff, NovDiff, DecDiff
  -66000,   -0.790384,   -0.824013,   -0.197597,    0.988914,    2.428125,    3.740699,   -4.558624,   -4.633063,   -3.933537,   -2.671933,   -1.211130,    0.048654
  -65000,   -0.299878,   -0.625592,   -0.178909,    0.981566,    2.563492,    4.155281,   -5.320542,   -5.722025,   -5.224151,   -3.983129,   -2.356241,   -0.795492
  -64000,    0.287596,   -0.352542,   -0.144875,    0.904840,    2.540090,    4.337902,   -5.813370,   -6.555063,   -6.321930,   -5.196941,   -3.502048,   -1.711227
  -63000,    0.922685,   -0.029351,   -0.098957,    0.769260,    2.372267,    4.295197,   -6.024687,   -7.092305,   -7.159709,   -6.228223,   -4.561343,   -2.625125
  -62000,    1.555490,    0.317352,   -0.045219,    0.588615,    2.083132,    4.049193,   -5.964219,   -7.320941,   -7.697842,   -7.014387,   -5.460820,   -3.468951
  -61000,    2.139778,    0.660959,    0.011991,    0.378794,    1.702214,    3.634082,   -5.660394,   -7.252874,   -7.924411,   -7.518791,   -6.146648,   -4.185408
  -60000,    2.636818,    0.977073,    0.068390,    0.156514,    1.262878,    3.092560,   -5.156009,   -6.920633,   -7.852791,   -7.731085,   -6.587562,   -4.732542
  -59000,    3.018319,    1.245472,    0.120105,   -0.062004,    0.799599,    2.471908,   -4.503369,   -6.372150,   -7.517175,   -7.664830,   -6.775225,   -5.086192
  -58000,    3.268039,    1.451575,    0.163969,   -0.262284,    0.345263,    1.820054,   -3.759267,   -5.664979,   -6.966849,   -7.353011,   -6.722044,   -5.240233
  -57000,    3.381895,    1.587182,    0.197730,   -0.432635,   -0.071245,    1.181889,   -2.980162,   -4.860525,   -6.259952,   -6.842286,   -6.457061,   -5.204756
  -56000,    3.366646,    1.650435,    0.220149,   -0.564837,   -0.426920,    0.596172,   -2.217957,   -4.018757,   -5.457435,   -6.186837,   -6.020710,   -5.002674
  -55000,    3.237536,    1.645044,    0.230972,   -0.654397,   -0.705764,    0.093323,   -1.516696,   -3.193860,   -4.617803,   -5.442599,   -5.459323,   -4.665477
